"Zvezna_drzava","Leto","BDP","Populacija"
"New York",2014,1347559.8,19651049
"New York",2015,1372232.4,19654666
"New York",2016,1397723.7,19633428
"New York",2017,1424905.5,19589572
"New York",2018,1467076.8,19530351
"New York",2019,1490678.5,19453561
"North Carolina",2010,433916.7,9574323
"North Carolina",2011,438423.4,9657592
"North Carolina",2012,439539.7,9749476
"North Carolina",2013,445109.6,9843336
"North Carolina",2014,455295.7,9932887
"North Carolina",2015,469535.6,10031646
"North Carolina",2016,477523.8,10154788
"North Carolina",2017,489026.6,10268233
"North Carolina",2018,501955,10381615
"North Carolina",2019,511539.9,10488084
"North Dakota",2010,37974.9,674715
"North Dakota",2011,42208.5,685225
"North Dakota",2012,51624.6,701176
"North Dakota",2013,52385.5,722036
"North Dakota",2014,56554.6,737401
"North Dakota",2015,55067.4,754066
"North Dakota",2016,51137.3,754434
"North Dakota",2017,51291.2,754942
"North Dakota",2018,53472.8,758080
"North Dakota",2019,53930.2,762062
"Ohio",2010,520300.6,11539336
"Ohio",2011,536583.2,11544663
"Ohio",2012,540882.4,11548923
"Ohio",2013,550692.3,11576684
"Ohio",2014,571424.7,11602700
"Ohio",2015,579943.2,11617527
"Ohio",2016,585044.7,11634370
"Ohio",2017,592725.7,11659650
"Ohio",2018,606141.5,11676341
"Ohio",2019,615474.4,11689100
"Oklahoma",2010,159534.9,3759944
"Oklahoma",2011,165209.7,3788379
"Oklahoma",2012,173238.8,3818814
"Oklahoma",2013,176862.6,3853214
"Oklahoma",2014,186307,3878187
"Oklahoma",2015,193237.7,3909500
"Oklahoma",2016,188063.3,3926331
"Oklahoma",2017,188157.2,3931316
"Oklahoma",2018,193204.7,3940235
"Oklahoma",2019,197900.4,3956971
"Oregon",2010,169013.8,3837491
"Oregon",2011,173881.1,3872036
"Oregon",2012,174427.6,3899001
"Oregon",2013,175811.6,3922468
"Oregon",2014,181754.9,3963244
"Oregon",2015,191864.2,4015792
"Oregon",2016,201059.5,4089976
"Oregon",2017,209581.3,4143625
"Oregon",2018,219279.9,4181886
"Oregon",2019,225336.8,4217737
"Pennsylvania",2010,622140,12711160
"Pennsylvania",2011,630906.6,12745815
"Pennsylvania",2012,640663.1,12767118
"Pennsylvania",2013,650802.3,12776309
"Pennsylvania",2014,666555.8,12788313
"Pennsylvania",2015,682527,12784826
"Pennsylvania",2016,691316.2,12782275
"Pennsylvania",2017,695560.8,12787641
"Pennsylvania",2018,708856.9,12800922
"Pennsylvania",2019,726165.9,12801989
"Rhode Island",2010,51364.7,1053959
"Rhode Island",2011,51262.8,1053649
"Rhode Island",2012,51607.4,1054621
"Rhode Island",2013,51679,1055081
"Rhode Island",2014,52005.5,1055936
"Rhode Island",2015,52957.8,1056065
"Rhode Island",2016,53030.2,1056770
"Rhode Island",2017,52727.7,1055673
"Rhode Island",2018,53135.5,1058287
"Rhode Island",2019,53668,1059361
"South Carolina",2010,170151.9,4635649
"South Carolina",2011,174119.1,4671994
"South Carolina",2012,175328.5,4717354
"South Carolina",2013,178757.4,4764080
"South Carolina",2014,183579.7,4823617
"South Carolina",2015,190294.1,4891938
"South Carolina",2016,196477.4,4957968
"South Carolina",2017,202644.5,5021268
"South Carolina",2018,209012.5,5084156
"South Carolina",2019,214933.7,5148714
